#中文说明,name,UI类型注释,,,,,,
#属性,,,left,top,normal,over,exp,disabled
文芷,chara_01,sysbutton,90,687,chara_01_normal_en,chara_01_on_en,"stand_object.change('char', '文芷','chara_01')",
墨小菊,chara_02,sysbutton,193,687,chara_02_normal_en,chara_02_on_en,"stand_object.change('char', '墨小菊','chara_02')",
骆衍,chara_03,sysbutton,286,687,chara_03_normal_en,chara_03_on_en,"stand_object.change('char', '骆衍','chara_03')",
迟耀,chara_04,sysbutton,381,687,chara_04_normal_en,chara_04_on_en,"stand_object.change('char', '迟耀','chara_04')",
迟菓,chara_05,sysbutton,484,687,chara_05_normal_en,chara_05_on_en,"stand_object.change('char', '迟菓','chara_05')",
墨叔,chara_06,sysbutton,587,687,chara_06_normal_en,chara_06_on_en,"stand_object.change('char', '墨叔','chara_06')",
朱特,chara_07,sysbutton,665,687,chara_07_normal_en,chara_07_on_en,"stand_object.change('char', '朱特','chara_07')",
丁老师,chara_08,sysbutton,743,687,chara_08_normal_en,chara_08_on_en,"stand_object.change('char', '丁老师','chara_08')",
琳,chara_09,sysbutton,831,687,chara_09_normal_en,chara_09_on_en,"stand_object.change('char', '琳姐','chara_09')",
四哥,chara_10,sysbutton,889,687,chara_10_normal_en,chara_10_on_en,"stand_object.change('char', '四哥','chara_10')",
胖子,chara_11,sysbutton,997,687,chara_11_normal_en,chara_11_on_en,"stand_object.change('char', '胖子','chara_11')",
刺儿头,chara_12,sysbutton,1075,687,chara_12_normal_en,chara_12_on_en,"stand_object.change('char', '刺儿头','chara_12')",
文绉,chara_13,sysbutton,1143,687,chara_13_normal_en,chara_13_on_en,"stand_object.change('char', '文绉','chara_13')",
