# 音乐鉴赏用
# 文件名,标题（BGM鉴赏里用）,歌词/描述文件名(不用写后缀.txt)
BGM01,慵懒的阳光,bgm01
BGM02,珍贵的课间,bgm02
BGM03,紫水晶之瞳,bgm03
BGM04,橙色的小伞,bgm04
BGM05,木头脑袋,bgm05
BGM06,Excuse me?!,bgm06
BGM07,静谧之夜,bgm07
BGM08,脆弱的温柔,bgm08
BGM09,约定,bgm09
BGM10_Ora,心底的颜色_Orange,bgm10_ora
BGM10_Vio,心底的颜色_Violet,bgm10_vio
BGM11,纠葛,bgm11
BGM12,乱麻,bgm12
BGM13,绝望,bgm13
BGM14,决心,bgm14
BGM15,告白,bgm15
BGM16,敌意,bgm16
BGM17,阳光下的公园,bgm17
BGM18,尘埃落定,bgm18
BGM20,独行,bgm20
BGM21_full,黑白绘卷,bgm21
BGM22,罪与责,bgm22
Vocal_OP,三色绘恋,Vocal_OP
Vocal_OP_JP,三色绘恋(Ver.JP),vocal_op_jp
Vocal_ED1,绘卷里的星球,Vocal_ED1
Vocal_ED2,"绘卷里的星球(Ver.Violet)",Vocal_ED2
Vocal_ED3,"绘卷里的星球(Ver.Orange)",Vocal_ED3
Vocal_ED4,"绘梦画卷",Vocal_ED4
Vocal_ED5,"恋染色",Vocal_ED5
Vocal_SYZY,"圣夜钟音",Vocal_SYZY
freetalk1,"新年快乐! -Orange Side-",freetalk1
freetalk2,"Buon Anno! -Violet Side-",freetalk2
freetalk3,"Happy New Year! -Green Side-",freetalk3
freetalk4,"短信祝福! -Sunny Side-",freetalk4
freetalk5,"恭喜发财! -Lucien Side-",freetalk5
BGM23,"绘卷里的星球",bgm23
BGM24,"绘梦画卷 Cover.",bgm24
BGM25,"恋风花 ED.",bgm25
BGM26,"恋风花 Inst Ver.",bgm26
BGM27,"恋风花 Piano Ver.",bgm27
BGM28,"恋风花 Symphonic Ver.",bgm28
BGM29,"恋染色 S.Piano Ver.",bgm29
BGM30,"恋时雨 Game Size Ver.",bgm30
BGM31,"流光织雨 Game Size Ver.",bgm31
BGM32,"流光织雨 Symphonic Ver.",bgm32
BGM33,"龙傲天",bgm33
BGM34,"三色绘恋",bgm34
BGM35,"三色绘恋S.Piano Ver.",bgm35
BGM36,"通向真实的道标",bgm36
BGM37,"万里晴空",bgm37
BGM38,"心的温度",bgm38
BGM39,"蓄势待发",bgm39
BGM40,"一成不变的风",bgm40
BGM41,"致静夜",bgm41
BGM42,"决心（钢琴抒情版）",bgm42
BGM43,"恋染色（弦乐版）",bgm43
BGM44,"心底的颜色（华尔兹版）",bgm44
BGM45,"婚礼",bgm45
BGM46,"芭贝拉",bgm46
BGM47,"工作室",bgm47
BGM48,"日常 缓",bgm48
BGM49,"决心 Another",bgm49
BGM50,"少女的祈祷",bgm50
BGM51,"第一部分",bgm51
BGM52,"暖晖",bgm52
BGM53,"新色",bgm53
BGM54,"耳语",bgm54
